entry,example_sentence
cumulative,The cumulative number of COVID-19 cases continues to rise.
cushion,I like to sit on a soft cushion while reading.
customize,You can customize your order to your liking.
daytime,I prefer to work during the daytime.
deadline,I need to submit my report before the deadline.
dealership,I bought my car from a local dealership.
debit,The accountant calculated the company's credits and debits.
deck,I like to relax on the deck and enjoy the sunshine.
decorate,I decorate my house with Christmas lights every year.
decoration,The decoration on the cake was beautiful.
dedication,Her dedication to her work is admirable.
deduct,You can deduct your business expenses from your taxable income.
deduction,The deduction for charitable donations is a great incentive for people to give to worthy causes.
defect,There is a defect in the product.
defective,The company issued a recall for the defective product.
definite,This is the definite answer.
delegate,They were delegates from India to the U.N.
delete,I accidentally deleted all my files.
delicate,She has a delicate touch when playing the piano.
delicious,The cake was delicious.
deluxe,The hotel offers deluxe accommodations with stunning views of the city.
demolish,The old building had become so rundown that it had to be demolished.
dental,I have a dental appointment tomorrow.
dentist,I have an appointment with my dentist tomorrow.
depart,My flight will depart in an hour.
departmental,The company has a departmental structure with different divisions.
departure,I watched my friends' departure as they left for a faraway land.
dependable,He is a dependable friend who I can always rely on.
dependence,I have a strong dependence on coffee to start my day.
descriptive,She gave a descriptive account of the accident.
designate,I will designate you as the team leader.
desirable,It is desirable to have a healthy lifestyle.
desktop,My desktop has gotten cluttered.
desperate,She was desperate to find a job.
dessert,I love to indulge in a delicious dessert after a meal.
destination,What's the destination of this ship?
detach,You can detach the keyboard from the laptop.
deteriorate,The air quality in the city has been deteriorating due to increased pollution.
devastate,"The hurricane devastated the coastal town, leaving behind a trail of destruction."
developer,I am a software developer.
diagnose,The doctor was able to diagnose the patient's illness.
diagnostic,The doctor performed a diagnostic test to determine the cause of the patient's symptoms.
diagram,I drew a diagram to explain the process.
dial,I bought a new watch with an omega symbol on the dial.
diamond,The diamond's brilliancy was breathtaking.
dine,I like to dine at fancy restaurants on special occasions.
diner,I had dinner at a popular diner last night.
diploma,She proudly displayed her diploma on the wall.
directory,I need to create a new directory for the project.
disable,They disable the security system.
disagreement,The disagreement between the union and management could lead to a strike.
disappointment,I felt a deep sense of disappointment when I didn't get the job.
discard,Please discard any expired items.
disconnect,I decided to disconnect from social media for a while.
discontinue,I have decided to discontinue my piano lessons.
discrepancy,There is a discrepancy between the two reports.
disgust,The smell of rotten eggs disgusts me.
dishwasher,The dishwasher in the cafeteria is responsible for washing the dishes.
dislike,I dislike spiders.
dispatch,The company will dispatch a team of experts to handle the situation.
disposal,Proper disposal of waste is important for environmental conservation.
dispose,Please dispose of your trash in the designated bins.
disrupt,The new technology has the potential to disrupt the traditional market.
disruption,The sudden power outage caused a disruption in the city.
dissatisfy,I dissatisfy easily with the quality of the product.
distract,The loud noise distracted me from my work.
distraction,She was trying to ignore the distraction in the room.
distractor,The distractor in the room caught my attention.
distribution,The distribution of goods is an important aspect of the supply chain.
distributor,The distributor is responsible for distributing the products to various stores.
dive,He decided to dive from the cliff into the deep blue sea.
dividend,The company announced a dividend increase for its shareholders.
dock,The ship pulled into the dock to unload its cargo.
documentary,I watched a documentary about the history of photography.
documentation,The documentation for this software is comprehensive and easy to understand.
donate,I decided to donate all my old clothes to the local charity.
donation,I made a donation to the charity organization.
donut,I love eating donuts.
doorman,The doorman greeted us with a warm smile as we entered the hotel.
dose,The doctor prescribed a dose of medication for the patient.
download,You can download the file from the website.
downsize,The company decided to downsize its workforce due to financial difficulties.
downstairs,The meeting room is downstairs.
downtown,I love exploring downtown areas.
downturn,The recent economic downturn has affected many businesses.
drastically,She drastically changed her lifestyle to improve her health.
drawback,One major drawback of living in a big city is the high cost of living.
drawer,I found a key in the drawer.
drill,I need to buy a new drill for my home improvement project.
drought,The drought has caused a severe water shortage in the region.
drum,The drummer is playing the drum.
dull,The lecture was so dull that I fell asleep.
duplicate,Be careful not to duplicate any files when you transfer them to the new folder.
durable,This backpack is made of durable material.
duration,The duration of the movie was two hours.
dynamic,The dynamic performance of the car was impressive.
eager,She is eager to learn new things.
earthquake,The earthquake shook the entire city.
economical,This car is very economical.
economically,She manages her finances economically.
economist,The economist predicted a recession in the next quarter.
economize,I always try to economize by shopping for groceries on sale.
editorial,The editorial in today's newspaper was thought-provoking.
effectiveness,The effectiveness of this new treatment is still being studied.
efficiently,He completed the task efficiently.
electrical,I need to call an electrician to fix the electrical problem in my house.
electrician,The electrician fixed the wiring in my house.
electronically,The documents can be signed electronically.
elegant,She looked elegant in her evening gown.
elephant,The elephant is the largest land animal.
elevate,She used the elevator to elevate to the top floor.
elevator,The elevator is out of order.
eligible,She is eligible for the scholarship.
embassy,I need to go to the embassy to renew my passport.
embed,The workers will embed the steel rods into the concrete.
enclose,Please enclose the documents in the envelope.
energetic,She is always full of energy and enthusiasm.
engagement,The couple announced their engagement last night.
enjoyable,The party was enjoyable.
enroll,Please enroll your name in the register.
enrollment,Enrollment in the UFO Charity Run is [[on a first-come-served basis]].
enthusiasm,She approached her work with great enthusiasm.
enthusiast,She is a photography enthusiast.
enthusiastic,The concert was jam-packed with enthusiastic fans.
enthusiastically,She enthusiastically cheered for her favorite team.
entrepreneur,She is a successful entrepreneur.
environmentally,I try to live environmentally by recycling and conserving energy.
equip,He equipped himself with the necessary tools for the job.
erase,I need to erase this mistake.
escalator,I took the escalator to the second floor.
escort,She hired an escort for the evening.
ethics,Studying ethics helps us understand moral principles and make ethical decisions.
euro,The euro is the official currency of the European Union.
evacuate,The government ordered residents to evacuate [[due to]] the approaching hurricane.
evenly,The cake was evenly divided among the guests.
evident,It is evident that he did it.
excellence,She demonstrated excellence in her work.
exceptional,She has exceptional talent in singing.
excessive,She has an excessive amount of clothes in her closet.
exclusive,This offer is exclusive to our VIP members.
exclusively,She is exclusively focused on her career.
excursion,We went on an excursion to the beach with our classmates.
exemption,He received an exemption from paying taxes.
exit,Please use the exit on the right.
exotic,The restaurant serves exotic dishes from around the world.
expedite,We need to expedite the delivery of the package.
expertise,He has extensive expertise in the field of technology.
expiration,expiration date by 07 DEC 2022
expire,The milk will expire tomorrow.
explanatory,The professor gave an explanatory lecture on the topic.
explorer,The explorer discovered a hidden treasure in the jungle.
extinguisher,Make sure to keep a fire extinguisher in your kitchen.
fabric,She bought a beautiful fabric to make a dress.
facilitate,Technology can facilitate communication between people who are far apart.
factual,The scientist presented factual evidence to support his theory.
faculty,The faculty of this university is highly respected.
familiarity,Familiarity breeds contempt.
familiarize,I need to familiarize myself with the new software.
fare,The fare for the train ride is $10.
farewell,I said farewell to my friends before leaving for college.
fasten,Please fasten your seatbelt before takeoff.
fatigue,I feel a lot of fatigue after working long hours.
faulty,The faulty machine caused the production to stop.
favorable,He received a favorable response from the audience.
fax,I need to send a fax to the office.
feedback,I appreciate your feedback on the project.
ferry,I took the ferry to the island.
finalize,I need to finalize the project by the end of the week.
firefighter,The firefighter bravely entered the burning building to rescue the trapped residents.
firework,I watched a beautiful firework display last night.
fiscal,The government implemented various fiscal policies to stimulate economic growth.
fitness,She exercises moderately to maintain her fitness.
fixture,"The new chandelier became a beautiful fixture in their dining room, enhancing the overall ambiance."
flavor,The ice cream has a unique flavor.
flaw,"Despite his flaw, he is still a great leader."
fleet,The company operates a fleet of trucks for its delivery service.
fleet,The fleet of ships sailed across the ocean at a fast speed.
flexibility,Flexibility is important in adapting to new situations.
flextime,"I have flextime at my job, so I can choose my own working hours."
flour,I need to buy some flour to make bread.
flu,I caught the flu and had to stay home for a week.
fluctuate,The stock prices fluctuate daily.
fluent,She is fluent in French.
flyer,I saw a flyer for a concert in the park.
fog,The fog made it difficult to see the road.
folder,I put the documents in a folder to keep them organized.
footwear,I recently bought a new pair of footwear that is both stylish and comfortable for daily use.
forbid,They forbid smoking in the building.
foreman,The foreman is responsible for overseeing the construction site.
fork,I need a fork to eat my dinner.
formally,He dressed formally for the business meeting.
fortunately,"Fortunately, I found my lost wallet."
forum,I attended a forum on ancient Roman history.
foster,She decided to foster a rescue dog.
founder,The founder of the company started with just a small idea.
founder,The ship foundered due to flooding.
fountain,The fountain in the park is a popular spot for visitors.
franchise,The fast food restaurant is part of a popular franchise.
freelance,I work as a freelance graphic designer.
freight,The freight train arrived at the station on time.
freighter,The freighter carried a load of cargo across the ocean.
frustrate,The constant setbacks frustrate her efforts to succeed.
fry,I love to fry chicken for dinner.
fundraise,They organized a charity event to fundraise for the local hospital.
furnish,They decided to furnish their new apartment with modern furniture.
gallon,I bought a gallon of milk at the grocery store.
garage,I parked my car in the garage.
garbage,The city is filled with garbage.
gardener,The gardener is pruning the bushes in the garden.
garment,She is wearing a beautiful garment.
gasoline,I need to fill up my car with gasoline.
generalization,Generalization is an important concept in computer science.
generator,The generator powered the entire building during the blackout.
generic,This is a generic example sentence.
generous,She is known for her generous nature.
genre,The fantasy genre is known for its imaginative and magical elements.
getaway,I need a getaway from the city.
glove,I put on my glove to keep my hands warm.
goods,He inherited all of his father's goods.
gossip,I heard some juicy gossip about our neighbor.
graduation,I will be attending my graduation ceremony next week.
gram,I bought 500 grams of sugar.
graph,I created a graph to visualize the data.
graphic,The graphic details of the crime scene were too disturbing to look at.
graphics,I studied graphics in college.
grill,The chef cooked an alfonsino on the grill.
grocery,I need to go to the grocery store to buy some food.
guidance,The teacher provided guidance to the students.
gum,I chewed a piece of gum after lunch.
gym,I go to the gym every morning to work out.
gymnasium,I go to the gymnasium every day to work out.
habitual,She has a habitual morning routine.
hacker,The hacker infiltrated the company's database and stole sensitive information.
hallway,I walked down the hallway to get to my classroom.
hamburger,I'm going to have a hamburger for lunch.
handbook,I always keep a handbook in my bag.
handy,This handy tool makes it easy to fix small problems.
hardware,I need to buy some new hardware for my computer.
hardworking,She is a hardworking student.
harmful,Exposure to harmful chemicals can have serious health effects.
hazard,The building was inspected for safety hazards.
hazardous,The chemicals used in this experiment are hazardous.
headache,I have a headache.
headphone,I forgot to bring my headphones to the gym.
headquarter,The company's headquarter is located in New York.
healthcare,I work in the healthcare industry.
healthful,Eating a balanced diet is important for maintaining a healthful lifestyle.
heater,I turned on the heater because it was cold.
helmet,He put on his helmet before heading into battle.
hereby,I hereby declare that I will be running for president.
hesitant,She was hesitant to try the new food.
hesitation,Her hesitation made me doubt her sincerity.
highway,I drove on the highway to get to the city.
hike,I love to hike in the mountains.
hiker,The hiker enjoyed the beautiful scenery during the hike.
hobby,My hobby is playing the guitar.
homeless,She saw a homeless man sleeping on the park bench.
homemade,I love eating homemade cookies.
homeowner,The homeowner is responsible for maintaining the property.
homework,I'll finish my homework and go to bed.
honestly,"Honestly, I don't know what to do."
hospitality,The hotel staff provided excellent hospitality to their guests.
hotline,The phone number of the Fukuoka Suicide Prevention Hotline is 092-592-0780.
hourly,I get paid an hourly wage at my job.
housekeep,I need to hire a housekeeper to help with cleaning and organizing my home.
housekeeper,The housekeeper takes care of all the household chores.
humidity,The humidity in the room was so high that my clothes felt damp.
hungry,The hungry cat was meowing loudly.
hurricane,The hurricane caused widespread destruction along the coast.
hygiene,Maintaining good hygiene is important for overall health.
ice cream,I like to have ice cream after dinner.
icy,The icy road sparkled in the sunlight.
ideally,"Ideally, I would like to travel the world."
identification,Identification is required to enter the building.
illogical,His explanation for his actions was completely illogical.
immigration,Immigration is a hot topic in the current political climate.
impact,The earthquake had a significant impact on the city.
impatient,She became impatient waiting for the bus.
imperative,It is imperative that you finish your homework before tomorrow.
inappropriate,His behavior was inappropriate for a formal event.
inclusive,This organization is committed to creating an inclusive environment for everyone.
incoming,I saw an incoming message on my phone.
incomplete,The report is incomplete.
inconvenience,I apologize for any inconvenience caused.
incur,His reckless behavior could incur serious consequences.
indicator,The traffic light is an indicator for drivers.
indirect,He took an indirect route to avoid traffic.
individually,Each student will be graded individually.
indoor,"I prefer indoor activities, such as reading or painting."
induction,The induction ceremony for new employees will be held next week.
inefficient,The old computer system is inefficient and slows down productivity.
inexpensive,This restaurant offers inexpensive meals.
inexperience,Her inexperience showed when she made several mistakes on her first day of work.
infer,"From the evidence presented, we can infer that she is guilty."
inference,"Upon observing the clues at the crime scene, the detective made a logical inference about the suspect's identity."
inflate,He used a pump to inflate the balloon with air.
influential,She is an influential figure in the fashion industry.
informal,"I'm going to a party tonight, so I'll be dressed informally."
informative,Reading books is an informative activity.
ingredient,Salt is an essential ingredient in cooking.
ink,I need to buy some ink for my printer.
innovative,She is known for her innovative ideas.
inquire,I need to inquire about the availability of the product.
insert,Please insert the key into the lock.
inspect,The mechanic will inspect the car before selling it.
inspection,The inspection of the building revealed several safety violations.
inspector,The inspector examined the crime scene for any evidence.
inspiration,She found inspiration in nature.
installation,The installation of the new software took longer than expected.
institute,He works at a research institute.
instruct,I will instruct you on how to use the new software.
instructor,The instructor taught us how to swim.
insufficient,The amount of food provided was insufficient for the number of guests.
integral,Calculus is an integral part of mathematics.
intently,She listened intently to his every word.
interactive,The interactive game allows players to communicate with each other.
interfere,I don't want to interfere in their personal matters.
intern,I worked as an intern at a tech company last summer.
internationally,He is recognized internationally for his contributions to the field of science.
internet,I use the internet every day to stay connected with friends and family.
internship,I am currently doing an internship at a tech company.
interpreter,The interpreter helped us communicate with the foreign delegates.
interrupt,"I'm sorry to interrupt, but can I ask a question?"
intersection,The intersection was congested with traffic.
intonation,She spoke with a clear intonation.
introductory,This is an introductory course to computer programming.
invaluable,Her advice was invaluable to me.
invention,The invention of the telephone revolutionized communication.
inventory,I need to check the inventory before [[placing the order.]]
invoice,Please send me the invoice including the price and shipping fee.
irregular,He has an irregular work schedule.
irrelevant,The color of the walls is irrelevant to the overall design.
irritate,The answer irritated me.
itinerary,I need to plan my itinerary for the trip.
jam,I spread jam on my toast every morning.
jam,I managed to jam all my clothes into the suitcase.
jazz,She is interested in jazz.
jean,I bought a new pair of jeans.
jet,The jet took off in a hurry.
jewelry,She wore a beautiful piece of jewelry to the party.
jog,She jogged lightly in the park.
journalism,She studied journalism in college and now works as a reporter for a major newspaper.
juice,I love to drink a glass of freshly squeezed juice.
junior,She is a junior employee at the company.
junk,I found some junk in the attic.
keyboard,I love playing the piano. The keyboard is my favorite part.
kilogram,I weighed myself and found out that I am 60 kilograms.
kilometer,I walked five kilometers today.
kit,I bought a new tool kit for my home repairs.
knowledgeable,She is knowledgeable about various topics.
lab,I spent all day in the lab conducting experiments.
ladder,He climbed up the ladder to reach the roof.
lamp,I turned on the lamp to brighten up the room.
landlord,The landlord is responsible for maintaining the property.
lane,I drove down a narrow lane to get to the cottage.
laptop,I bought a new laptop yesterday.
lately,I haven't been feeling well lately.
laundry,I need to do the laundry today.
lawn,The children played on the lawn.
layoff,The company announced a round of layoffs due to financial difficulties.
layout,The layout of the city was carefully planned to maximize efficiency.
leak,There was a leak in the pipe.
lease,Our lease is up in May and I�fd like to move to a new office.
lecturer,The lecturer gave an informative presentation on the topic.
leisure,I enjoy leisure activities such as reading and hiking.
lengthy,The meeting was lengthy and exhausting.
letterhead,The company logo and contact information are printed on the letterhead.
librarian,The librarian helped me find a book.
lifeguard,The lifeguard kept a close watch on the swimmers at the beach.
lifestyle,Having a healthy lifestyle is important for overall well-being.
lifetime,The memories we create last a lifetime.
lighter,I need a lighter to start the campfire.
lightweight,This backpack is lightweight and easy to carry.
