word,translation,tag
achieve,"vt. 完成, 达到\nvi. 如愿以偿",zk gk cet4 cet6 ky toefl ielts
across,"prep. 越过, 穿过, 与...相交叉, 在...的对面\nadv. 交叉, 到另一边, 在对面, 成十字",zk gk
act,"n. 行动, 行为, 幕, 法案\nvi. 行动, 表演, 假装, 见效, 表现, 担当\nvt. 扮演, 装作\n[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术",zk gk cet4 ky
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式",zk gk cet4 cet6 ky toefl ielts
activate,"vt. 使活动, 使激活, 正式建成\nvi. 有活力",ky toefl ielts
actively,"adv. 活跃地, 积极地",toefl
activity,"n. 活动, 行动, 活跃, 活力\n[计] 活动",zk gk cet4 ky ielts
actress,n. 女演员,gk cet4 ky
actually,"adv. 事实上, 竟然, 如今, 现在",cet4 cet6 toefl
adapter,"n. 适应者, 改编者, 接合器\n[计] 衔接器; 适配器, 适配卡",
addition,"n. 加法, 增加的人(或物)\n[计] 加法",gk cet4 cet6 ky ielts gre
additionally,"adv. 另外, 此外",
address,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址",zk gk cet4 cet6 ky toefl ielts gre
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护\nvt. 使粘附",cet4 cet6 ky toefl ielts gre
adjacent,"a. 毗连的, 邻近的, 连接的\n[机] 相邻的, 邻位的, 交界的",cet6 ky toefl ielts gre
administer,"vt. 管理, 料理, 执行\nvi. 执行遗产管理人的职责, 给予帮助",ky toefl ielts
administrative,"a. 管理的, 行政的\n[法] 行政的, 管理的, 遗产管理的",toefl
administrator,"n. 管理人, 行政官\n[经] 遗产管理人员",toefl ielts
admission,"n. 准许进入, 入场费, 录用, 承认\n[经] 加入, 入股",gk cet4 cet6 ky toefl ielts gre
adult,"n. 成人, 成虫\na. 成年的, 成熟的",gk cet4 ky ielts
advance,"n. 前进, 进展, 行过的路程\nvi. 前进, 进展, 提高, 上涨\nvt. 使前进, 促进, 提出, 提高, 使提前, 预付\na. 前面的, 预先的",gk cet4 cet6 ky toefl
advancement,"n. 前进, 进步, 提升\n[医] 徙前术",toefl
advantage,"n. 优点, 便利, 好处, 优势\nvt. 有助于",zk gk cet4 ky
advertiser,"n. 做广告者, 广告客户\n[经] 广告商, 广告者",
advisable,"a. 适当的, 明智的",cet4 cet6 ky toefl gre
advisor,"n. 顾问, 劝告者, 指导教师",
advisory,"a. 顾问的, 咨询的, 劝告的\n[法] 劝告的, 忠告的, 咨询的",
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于\nn. 自觉感情",gk cet4 cet6 ky toefl ielts
affirmative,"a. 肯定的, 赞成的, 积极的\nn. 肯定语",
affordable,[计] 普及型,toefl gre
afternoon,"n. 午后, 下午",zk gk
afterward,"adv. 然后, 后来",gk cet4 cet6 ky
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期\nv. 变老, 成熟",zk gk toefl ielts
agency,"n. 代理机构, 经销商, 中介\n[化] 办事处",gk cet4 ky ielts
agent,"n. 代理商, 政府代表, 动原, 媒介\n[计] 代理程序",gk cet4 ky toefl
agree,"vi. 同意, 赞成, 应允, 适合\nvt. 承认, 认定, 同意",zk gk
agreement,"n. 同意, 合约, 协议\n[经] 契约, 协议, 协定",zk gk ielts
ahead,"a. 领先的, 预先的, 向前的\nadv. 领先, 预先, 向前, 胜于, 在前面, 在将来",gk
aim,"n. 目标, 瞄准, 击中目标的能力\nvi. 对准目标, 致力, 打算\nvt. 瞄准\n[计] 医学文摘索引, 存取隔离机构, 高级信息管理程序, 先进接口模块\n应用接口模块, 医学人工智能, 相联索引法, 异步接口模块\n自动化信息管理, 自动化综合制造, 自动化库存管理",gk cet4 cet6 ky toefl ielts
airfare,n. 飞机票价,
airplane,n. 飞机\n[机] 飞机,zk gk cet4
airport,"n. 飞机场\n[机] 航空站, 机场",zk gk ielts
aisle,"n. 走廊, 侧廊, 过道\n[机] 走道",ky ielts
alert,"a. 警觉的, 灵敏的, 留心的\nn. 警报\nvt. 使警觉, 通知, 使意识到",cet4 cet6 ky toefl gre
alike,"a. 相似的, 同样的\nadv. 一样, 以同样的方式",gk cet4 cet6 ky toefl
allergy,"n. 变应性, 反感, 厌恶\n[化] 变态反应; 变应性",ielts gre
allocate,"vt. 分派, 分配\n[计] 分配",gk cet6 ky toefl ielts gre
alone,"a. 孤独的, 单独的, 独自的\nadv. 独自地",zk gk cet4 ky toefl ielts
along,"adv. 平行地, 向前\nprep. 沿着",zk gk
alternate,"a. 交替的, 轮流的, 间隔的\nv. 轮流, (使)交替",cet6 ky toefl ielts gre
alternatively,adv. 非此即彼,
although,"conj. 虽然, 尽管",zk gk cet4 ky
amateur,"n. 业余爱好者, 外行, 爱好者\n[电] 业余家",gk cet6 ky toefl ielts gre
ambassador,"n. 大使\n[法] 大使, 使节, 代理",gk cet6 ky ielts
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的",cet6 ky toefl ielts
amenity,"n. 便利设施, 适意, 礼仪\n[法] 舒适, 方便, 优雅",toefl gre
amount,"n. 总数, 总额\nvi. 总计, 等同",gk cet4 ky toefl ielts
ample,"a. 大量的, 充足的, 丰富的",gk cet6 ky toefl ielts gre
amuse,"vt. 消遣, 娱乐, 使发笑",gk cet4 cet6 ky ielts gre
analysis,n. 分析\n[计] 分析机; 分析员; 分析; 分析程序,gk cet4 cet6 ky toefl ielts
anew,"adv. 重新, 再",
animal,n. 动物\n[医] 动物,zk gk ielts
anniversary,n. 周年纪念,gk cet6 ky ielts
announce,"vt. 宣布, 声称, 显示, 预告\nvi. 当报幕员, 宣布参加竞选",gk cet4 cet6 ky toefl gre
announcer,"n. 节目报告员, 宣告者",cet4 toefl
annoy,"vt. 使恼怒, 骚扰",gk toefl ielts gre
annually,"adv. 一年一次, 每年\n[经] 年度的, 每年的",cet6 toefl
answer,"n. 答案, 回答, 回报, 答辩\nvt. 回答, 反驳, 适应, 响应, 符合\nvi. 回答, 答应, 负责, 符合, 成功\n[计] 用户问题及答案新闻组",zk gk
antique,"n. 古董, 古物\na. 古老的, 古风的, 旧式的, 过时的",gk cet6 ky toefl ielts gre
anyhow,"adv. 无论如何, 至少",gk cet4 ky ielts
anyone,pron. 任何人,zk gk cet4 ky
anytime,adv. 任何时候；无例外地,
anyway,"adv. 无论如何, 至少",zk cet4 ky
apology,"n. 道歉, 辩护\n[法] 道歉, 谢罪, 辩解者",gk cet4 ky toefl
appear,"vi. 出现, 显得, 来到\n[法] 出庭, 到案, 出现",zk gk cet4 ky toefl
appendix,"n. 附录, 附加物, 阑尾\n[化] 增补",gk cet6 ky ielts
appetizer,"n. 开胃食品, 吊胃口的东西\n[医] 开胃剂",gre
apple,"n. 苹果, 家伙\n[医] 苹果",zk gk
appliance,"n. 器械, 用具, 应用\n[医] 矫正器; 器",cet4 cet6 ky toefl ielts
applicable,"a. 合适的, 可应用的\n[法] 适用的, 适应的",cet4 cet6 ky gre
applicant,"n. 申请者\n[经] 申请人, 请求人, 谋事人",gk cet4 toefl ielts gre
application,"n. 应用, 申请, 志愿书, 应用程序\n[计] 应用, 应用程序",gk cet4 cet6 ky toefl ielts gre
apply,"vt. 涂, 应用\nvi. 申请, 适用",gk cet4 cet6 ky toefl ielts
appraisal,"n. 评价, 估价\n[经] 评价, 评估",cet6 ky toefl ielts
appreciation,"n. 感激, 赏识, 鉴别\n[经] 涨价, 增值",gk cet6 toefl
apprehensive,"a. 惴惴不安的, 敏悟的, 知晓的",ky gre
apprentice,"n. 学徒, 生手\nvt. 使做学徒",toefl ielts gre
approach,"n. 接近, 入门\nvt. 接近, 近似, 找...商量\nvi. 靠近",gk cet4 cet6 ky toefl ielts gre
approximate,"a. 大约的, 接近的, 近似的\nvt. 接近, 使接近, 粗略估计\nvi. 接近于",cet4 cet6 ky toefl ielts gre
arc,"n. 弧, 弧形, 弓形, 弧光\n[化] 弧",cet6 toefl ielts
architect,"n. 建筑师, 设计者, 缔造者",gk cet4 cet6 ky toefl ielts gre
architectural,"a. 有关建筑的, 建筑学的",toefl
archive,"vt. 把...存档\nn. 档案馆, 档案文件\n[计] 挡案库, 存档",ky gre
argue,"vi. 提出理由, 争论, 辩论\nvt. 主张, 辩论, 证明, 说服",gk cet4 cet6 ky ielts
argument,"n. 争论, 论证, 论据, 自变量\n[计] 参数",gk cet4 ky ielts
arm,"n. 手臂, 袖子, 狭长港湾, 武器\nvt. 武装, 装备\nvi. 武装起来\n[计] 异步应答方式; 自动货品销路管理",zk gk
arrive,"vi. 到达, 抵达",zk gk
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术\n[计] 实际保持时间, 特许权和资源表, 平均检索时间, 平均运行时间",zk gk cet4 ky ielts
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约\n[计] 信件",zk gk cet4 ky toefl ielts
artistic,"a. 艺术的, 艺术家的, 富有艺术性的",cet4 cet6 ky ielts
asleep,"a. 睡着的, 长眠的, 麻木的\nadv. 熟睡地",zk gk cet4 ky
aspect,"n. 外观, 方面, 面貌, 方向\n[医] 方面, 局面; 外观",gk cet4 cet6 ky toefl gre
assemble,"vt. 集合, 收集, 装配\nvi. 集合\n[计] 汇编",cet4 cet6 ky toefl ielts gre
assembly,"n. 与会者, 集会, 装配, 组件\n[化] 装配",cet4 ky toefl
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述\n[计] 赋值",cet4 cet6 ky toefl ielts
associate,"n. 同伴, 伙伴, 关联的事物\nvt. 使联合, 使发生联系\nvi. 交往\n[计] 关联",gk cet4 cet6 ky toefl ielts gre
assume,"vt. 假定, 承担, 呈现\nvi. 装腔作势, 僭越",gk cet4 cet6 ky toefl ielts gre
assurance,"n. 保证, 把握, 信心, 保险\n[经] 保证, 担保, 保险",cet6 ky ielts
athletic,a. 运动的,gk cet6
attack,"n. 攻击, 抨击\nvt. 攻击, 抨击, 动手干\nvi. 攻击",gk cet4 cet6 ky ielts
attain,"vt. 达到, 获得\nvi. 达到",gk cet4 cet6 ky toefl ielts gre
attempt,"n. 尝试, 企图\nvt. 尝试, 企图",gk cet4 cet6 ky toefl ielts
attend,"vt. 参加, 照料, 伴随\nvi. 专心于, 照顾, 服侍, 出席",gk cet4 ky toefl ielts
attendant,"n. 随从, 侍者, 出席者\na. 侍候的, 伴随的, 出席的, 在场的",cet6 ky toefl ielts
attendee,"[计] 出席人, 参加者, 被照顾者, 被服务者",
attention,"n. 注意, 注意力\n[计] 引起注意信号",zk gk cet4 ky toefl ielts
attire,"n. 服装, 盛装\nvt. 使穿衣, 打扮",toefl gre
attorney,"n. 代理人, 律师\n[经] 律师, 代理人",cet6 ky toefl ielts gre
auction,n. 拍卖\nvt. 拍卖,ky ielts gre
audit,"n. 审计, 查帐\nvt. 查(帐), 旁听\nvi. 查账\n[计] 查帐; 审查; 检查",ky toefl ielts gre
audition,"n. 听, 听力, 试听\n[计] 审计命令",toefl ielts
auditor,"n. 审计员, 听者, 旁听生\n[经] 审计(查帐)员, 审计师, 会计检查员",toefl
auditorium,"n. 听众席, 礼堂\n[医] 大讲堂, 大会堂",ky toefl ielts gre
authentic,"a. 可靠的, 可信的, 真正的\n[法] 被认证的, 确认的, 可信的",gk cet6 ky toefl ielts gre
author,"n. 作家, 作家的著作, 创始人\n[法] 作者, 著作人, 本人",gk cet4 cet6 ky ielts
authority,"n. 权力, 当权者, 当局, 权威, 专家\n[经] 代理权, 授权, 权威",gk cet4 cet6 ky toefl ielts
authorization,"n. 授权, 许可\n[经] 授权, 许可, 批准",gre
authorize,"vt. 授权, 批准, 委托\n[经] 授权, 委任, 认可",toefl ielts
auto,"n. 汽车\npref. 表示""自己""、""本身"", 表示""自己的"", 表示""自动的""",cet4 ky
automate,vt.vi. (使)自动化\n[计] 自动化,cet6
automatic,"n. 自动手枪, 自动机械\na. 自动的, 机械的, 必然的, 无意识的",gk cet4 cet6 ky toefl ielts
automobile,n. 汽车\n[机] 汽车,cet4 cet6 ielts
automotive,a. 汽车的,toefl
availability,"n. 有效性, 可利用性, 可利用的人\n[计] 有效性; 可用性",cet6
available,"a. 可利用的, 可获得的, 有效的\n[医] 有效的, 可得的",zk gk cet4 cet6 ky toefl ielts gre
average,"n. 平均, 平均数, 一般水平, 海损\na. 平均的, 中等的, 平常的\nvt. 算出...平均数, 平均做, 均分, 使平衡\nvi. 平均为, 呈中间色",gk cet4 ky toefl ielts
avoid,"vt. 避免, 防止, 撤消\n[法] 避免, 回避, 躲开",zk gk cet4 ky toefl ielts gre
await,vt. 等候\nvi. 等待着,cet4 ky
baby,n. 婴孩\n[医] 婴儿,zk gk
backpack,"n. 远足用的背包；双肩背包, 背包",toefl
bacteria,"pl. 细菌\n[医] 细菌, [无芽胞]杆菌",cet4 cet6 toefl ielts gre
bad,a. 坏的\nn. 坏\nadv. 坏地,zk gk
badge,"n. 徽章, 标记\n[计] 标记",cet6 ky ielts gre
baggage,n. 行李\n[经] 行李,gk cet4 ky toefl ielts
bake,"vt. 烘焙, 烤\nvi. 烤面包\nn. 烘焙, 烤",gk cet4 ky ielts
baker,n. 面包师\n[医] 烤箱(骨科用),
bakery,n. 面包店,gk
balance,"n. 平衡, 差额\nvi. 平衡, 相等\nvt. 称, 权衡, 比较, 使平衡, 结算, 抵消",gk cet4 ky toefl ielts
balcony,"n. 阳台, 戏院楼厅",gk cet4 cet6 ky toefl ielts
balloon,"n. 气球\nvt. 使成气球状\nvi. 膨胀如气球, 激增",zk gk cet4 ky toefl ielts gre
ballroom,"n. 舞厅, 跳舞场",ielts
bank,"n. 银行, 堤, 岸\n[医] 库",zk gk ielts
banker,"n. 银行家, 庄家\n[经] 银行业者, 银行家",cet6 toefl
bankrupt,n. 破产者\na. 破产的\nvt. 使破产,cet6 ky toefl ielts gre
bankruptcy,"n. 破产者\n[经] 破产, 倒闭",cet6 toefl
banquet,n. 宴会,cet6 ky toefl ielts gre
bar,"n. 条, 棒, 酒吧, 栅, 障碍物\nvt. 禁止, 阻挡, 妨碍\n[计] 棒形图",gk cet4 ky toefl ielts gre
barbecue,"n. 烤肉\nvt. 烤肉, 烧烤",gk ky toefl ielts gre
bargain,"n. 交易, 买卖协定, 特价商品\nv. 讲价, 交易",gk cet4 cet6 ky ielts gre
base,"n. 底部, 垒, 基础, 基地\nvt. 以...作基础\na. 卑鄙的, 低劣的\n[计] 基准",gk cet4 ky gre
baseball,n. 棒球\n[计] 棒球系统,zk gk cet4 cet6 ky ielts
basement,"n. 地下室, 墙脚\n[化] 地下室",gk cet6 ky toefl ielts
basic,"n. 基本原理, 要素, 基本规律\na. 基本的, 碱性的\n(计算机)BASIC语言",zk gk cet4 ky toefl ielts
basis,"n. 基础, 主要成分\n[化] 基底",gk cet4 ky ielts
basket,"n. 篮, 篮子\nvt. 装入篮",zk gk
basketball,n. 篮球,zk gk
bathroom,"n. 浴室, 厕所",zk gk cet4 ky ielts
battery,"n. 电池, 殴打\n[化] 蓄电池",gk cet4 cet6 ky toefl ielts
bean,n. 豆子\n[化] 油嘴; 豆,gk cet4 cet6 ky toefl
bear,"n. 熊\nvt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价\nvi. 忍受, 结果实, 压挤, 行进, 转向",gk toefl ielts
beautiful,a. 美丽的,zk gk ielts
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层\nvt. 提供宿处, 栽种, 安装\nvi. 睡, 形成坚实的一层",zk gk
beforehand,adv. 预先,cet4 cet6 ky toefl ielts
beginner,n. 初学者,cet4
behalf,"n. 利益, 方面",gk cet4 cet6 ky toefl ielts
behavior,"n. 行为, 举止\n[医] 行为",cet4 cet6 ky toefl ielts
behind,adv. 在后地\nprep. 在...背后,zk gk
believe,v. 相信,zk gk
below,prep. 在下面\nadv. 在下面,zk gk toefl
bench,n. 长椅子\n[机] 台,gk cet4 cet6 ky gre
beneficial,"a. 有益的, 受益的\n[经] 有使用权的, 可享利益的",gk cet4 ky toefl ielts
benefit,n. 利益\nvt. 有益于\nvi. 受益,gk cet4 cet6 ky toefl ielts
beverage,n. 饮料\n[化] 饮料(如牛奶、茶、咖啡、啤酒等),ky toefl ielts gre
beyond,"prep. 超过, 在那一边, 迟于\nadv. 在远处\nn. 更远处",zk gk cet4 ky
bicycle,n. 自行车,zk gk cet4 ky ielts
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据\nvt. 开帐单, (用招贴)宣布",zk gk cet4 ky toefl ielts
biography,n. 传记,gk ky toefl ielts
biology,n. 生物学\n[化] 生物; 生物学,gk cet4 ky ielts
birthday,n. 生日,zk gk
bit,"n. 少量, 马嚼子, 辅币\nvt. 给马上嚼子, 控制\nbite的过去式和过去分词\n[计] 比特, 二进制数位, 机内测试",zk gk gre
black,"n. 黑色, 黑颜料\na. 黑色的",zk gk ielts
blanket,"n. 毛毯, 毯子\nvt. 掩盖, 覆盖\na. 总共的",gk cet4 ky toefl ielts
blue,"n. 蓝色\na. 蓝色的, 下流的, 忧郁的\nvt. 染成蓝色\nvi. 变蓝",gk gre
blueprint,"n. 蓝图, 设计图, (周详的)计划\nvt. 制成蓝图, 计划",ky gre
board,"n. 木板, 甲板, 膳食, 会议桌\nvt. 乘船, 供膳食, 用板覆盖\nvi. 搭伙\n[计] 板",zk gk cet4 cet6 ky toefl ielts
boardroom,"n. 会议室, 证券交换场所",
bonus,"n. 奖金, 红利\n[经] 奖金, 红利, 额外补贴",gk cet6 ky toefl ielts
book,"n. 书, 书籍, 帐簿, 名册, 工作簿\nv. 登记, 预订\n[计] 工作簿",zk gk ielts
bookcase,"n. 书架, 书柜",gk ielts
booklet,n. 小册子,ielts
bookstore,n. 书店,gk
booth,"n. 亭, 摊棚\n[经] 货摊, 电话间",gk cet4 cet6 ky ielts
born,a. 天生的\nbear的过去分词,zk gk cet4 ky
both,a. 两者的\nadv. 两者都\npron. 两者,zk gk
bound,"n. 跃, 回跳, 范围, 边界\na. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的\nvi. 跳跃, 弹起\nvt. 使跳, 限制, 形成...的疆界\nbind过去式和过去分词\n[计] 装订的",gk cet4 cet6 ky toefl ielts
box,"n. 盒子, 箱, 方框, 一巴掌\nvt. 装...入盒中, 装箱, 打耳光\nvi. 拳击\n[计] 方框",zk gk
boy,"n. 男孩\n[法] 男孩, 少年, 儿子",zk gk
brainstorm,n. 灵机一动\nv. 集体讨论,
brake,"n. 刹车, 阻碍, 丛林\nv. 刹车",gk cet4 ky ielts gre
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变\nvt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃\nvi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停\nn. 分隔符\n[计] 分隔符; 中断; DOS内部命令:设定扫描中断按键的时机",zk gk ielts
briefcase,n. 公事包,ky ielts
broaden,"vi. 变宽, 扩大\nvt. 放宽, 使扩大",cet6 toefl
brochure,"n. 小册子, 小册",gk ky toefl ielts gre
broker,"n. 掮客, 经纪人\n[经] 经纪人, 掮客",gre
broom,"n. 扫帚, 金雀花\nvt. 扫除",gk cet4 cet6 ky
brother,n. 兄弟,zk gk
browse,"v. 浏览, 吃草\nn. 浏览, 吃草\n[计] 浏览",cet6 ky ielts gre
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击\nvt. 连续打, 冲击, 搏斗\nvi. 奋斗",gk ky ielts
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人\nvt. 装防盗报警器, 装窃听器, 激怒\nvi. 捉虫, 暴突\n[计] 缺点, 错误",cet6 ky ielts
build,"v. 建立, 建筑\nn. 构造, 体格",zk gk
bulb,"n. 球茎, 电灯泡\n[医] 球, 鳞茎, 球茎",cet4 cet6 ky toefl ielts gre
bulk,"n. 大小, 体积, 大块, 大多数\nvt. 显得大, 显得重要",cet4 cet6 ky toefl ielts gre
bulletin,"n. 公告, 布告, 公报\n[电] 电子布告栏",cet6 ky ielts
bus,n. 公共汽车\n[计] 总线; 汇流条; 母线,zk gk ielts
business,"n. 生意, 事情, 业务, 商业, 商行, 职责\n[经] 企业, 商业, 营业",zk gk cet4 cet6 ky ielts
businessman,"n. 商人, 实业家, 工商业家",gk
businessperson,n. 商人,
butter,"n. 奶油, 黄油\nvt. 涂黄油于",zk gk cet4 ky toefl
buy,"vt. 买, 获得\nvi. 买\nn. 购买, 买得的东西",zk gk
bye,"interj. 再会, 回头见\n[计] 结束命令",zk gk
cab,"n. 出租车, 出租汽车, 出租马车\nvi. 乘出租马车(或汽车)",gk ky toefl ielts
cabin,"n. 小屋, 客舱\nvt. 关在小屋",cet4 cet6 ky toefl ielts
cabinet,"n. 橱柜, 内阁\na. 内阁的, 细木工做的\n[计] 机柜",cet4 cet6 ky toefl ielts gre
cafeteria,n. 自助餐厅\n[经] 自助餐厅,gk cet4 cet6 ky ielts
cage,"n. 笼, 牢房, 战俘营\nvt. 关进笼内",gk cet4 cet6 ky
calculation,"n. 计算, 考虑, 计算的结果\n[经] 计算",cet4 toefl
calculator,"n. 计算者, 计算器\n[计] 计算器",cet4 toefl
calendar,"n. 日历, 日程表\nvt. 列入表中\n[计] 日历",cet4 cet6 ky toefl ielts
caller,"n. 访客, 召集员, 传唤员\na. 新鲜的\n[计] 呼叫方标识",
campaign,"n. 战役, 运动, 竞选运动\nvi. 参加运动, 作战",gk cet4 cet6 ky toefl ielts gre
campus,"n. 校园, 大学生活",cet4 cet6 ky toefl ielts
cancellation,"n. 取消, 作废, 注销戳\n[经] 注销, 取消, 保险单的注销",toefl
candidate,"n. 候选人, 投考者\n[法] 候选, 候补者",gk cet4 cet6 ky toefl ielts gre
candy,"n. 糖果, 冰糖\nvt. 用糖煮, 使结晶为砂糖\nvi. 结晶为砂糖",zk gk cet4 ky
capital,"n. 首都, 大写字母, 资本\na. 首都的, 重要的",zk gk cet4 cet6 ky ielts
captain,"n. 船长, 指挥官, 海军上校, 首领\nvt. 率领, 指挥",zk gk cet4 cet6 ky
car,"n. 汽车, 客车\n[机] 车",zk gk
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机\nvt. 备置卡片, 记于卡片上, 梳理\n[计] 卡片, 卡",zk gk ielts
care,"n. 小心, 照料, 忧虑\nvi. 关心, 介意\nvt. 在意, 喜欢",zk gk ielts
career,"n. 事业, 生涯, 成功\n[法] 职业, 专业, 履历",cet4 ky toefl ielts
careless,"a. 粗心的, 不关心的, 无忧无虑的",zk gk cet4 toefl
cargo,n. 货物\n[经] 货柜,cet4 cet6 ky toefl gre
carpenter,n. 木匠,gk cet4 cet6 ky toefl ielts gre
carrier,"n. 运送者, 邮递员, 带菌者\n[计] 载波",gk cet4 cet6 ky ielts
carry,"n. 进位, 射程, 运载\nvt. 携带, 运送, 支持, 传送, 包含\nvi. 被携带, 能达到\n[计] 进位; 进位数",zk gk ielts
cart,n. 二轮运货马车\nvi. 驾运货马车\nvt. 用车装载,cet4 cet6 ky toefl ielts
carton,"n. 硬纸盒, 纸板箱\n[化] 卡纸",ielts
cartridge,"n. 弹药筒, 弹药, 一卷软片, 墨粉鼓\n[计] 盒式磁带机",cet6
cashier,"n. 出纳员\n[经] 司库, 出纳员, 收支员",ielts
casual,"a. 偶然的, 不经意的, 便装的\nn. 临时工, 待命士兵",gk cet4 cet6 ky toefl ielts gre
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手\nvt. 捕捉, 赶上, 感染, 听清楚\nvi. 抓住, 燃着",zk gk ielts
cater,"v. 提供饮食及服务, 投合, 迎合",gk cet6 ky toefl ielts gre
caterer,"n. 备办食物者, 备办宴席者",
cause,"n. 原因, 目标\nvt. 引起, 使产生, 使遭受",zk gk cet4 cet6 ky toefl ielts
caution,"n. 小心, 慎重, 警示\nvt. 警告\n[计] 警告",gk cet6 ky toefl ielts
cautious,"a. 谨慎的, 小心的",gk cet4 cet6 ky toefl ielts
ceiling,"n. 天花板\n[经] 顶点, 顶线, 上限",zk gk cet4 cet6 ky toefl
celebrity,"n. 名声, 名人",ky toefl gre
cell,"n. 单元, 细胞, 电池\n[计] 单元",gk cet4 cet6 ky toefl
cellphone,n. 蜂窝式便携无线电话；大哥大,
cent,n. 分\n[经] 美分,zk gk cet4 cet6 ky
center,"n. 中心, 中心点, 中锋\na. 中央的, 位在正中的\nvt. 集中, 定中心\nvi. 居中\n[计] 居中; 中央",ielts
centimeter,n. 厘米\n[医] 厘米,
central,"a. 中央的, 重要的\n[医] 中央的, 中心的, 中枢的",gk cet4 cet6 ky ielts
century,"n. 世纪, 百年",zk gk cet4 cet6 ky ielts
certain,"a. 确定的, 某一个的, 必然的\n[法] 确凿的, 无疑的, 可靠的",zk gk cet4 ky
certainly,adv. 确定地,gk
certificate,"n. 证书, 证明书\nvt. 发给证明书, 用证书批准, 用证书证明",gk cet4 cet6 ky ielts
certification,n. 证明\n[经] 证明,gre
certify,"v. 证明, 保证",ky ielts
chairperson,n. 主席,
